CUSTID,GENDER,DOB,EDATE,AGE,AGEGRP1,AGEGRP2,TV_REG,NGROUP,NEIGHBORHOOD,LCDATE,ORGANICS,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
0000011932,F,09/08/27,23/02/98,70,60-80,70-80,Midlands,B,15,05/04/90,0,6104.66,Midlands,Gold,0,5,8
0000014656,F,20/03/55,23/02/98,42,40-60,40-50,East,C,19,04/01/94,1,0.01,Midlands,Tin,1,,5
0000015350,F,30/11/66,23/02/98,,,,C Scotland,E,40,22/09/93,1,0.01,Scottish,Tin,1,7,5
0000017302,,17/06/48,23/02/98,49,40-60,40-50,London,D,28,01/04/91,0,0.01,South East,Tin,0,7,7
0000019496,F,01/06/31,23/02/98,66,60-80,60-70,Midlands,F,49,10/09/86,0,500,Midlands,Silver,0,9,12
0000019763,F,24/03/23,23/02/98,74,60-80,70-80,Wales & West,B,08,19/11/96,0,6000,Midlands,Gold,0,9,2
0000020478,,24/12/27,23/02/98,70,60-80,70-80,East,E,37,07/05/96,0,16000,Midlands,Gold,0,6,2
0000020761,M,20/10/31,23/02/98,66,60-80,60-70,S & S East,D,30,22/02/94,0,1000,South East,Silver,0,7,5
0000023124,F,13/11/51,23/02/98,46,40-60,40-50,London,D,27,01/07/90,0,0.01,South East,Tin,0,6,8
0000024554,M,21/05/58,23/02/98,39,20-40,30-40,Ulster,,,25/01/94,0,0.01,Midlands,Tin,0,10,5
0000024880,M,03/06/22,23/02/98,75,60-80,70-80,East,B,12,18/12/91,0,4000,Midlands,Silver,0,7,7
0000026387,F,06/08/25,23/02/98,72,60-80,70-80,Ulster,,,16/06/75,1,1250,Midlands,Silver,1,,23
0000027715,M,23/01/55,23/02/98,43,40-60,40-50,N West,F,53,21/09/93,1,0.01,North,Tin,1,7,5
0000029173,F,12/01/36,23/02/98,62,60-80,60-70,Wales & West,C,24,23/11/94,0,20000,Midlands,Gold,0,7,4
0000029440,M,18/03/60,23/02/98,37,20-40,30-40,S West,B,05,06/02/90,1,1000,South West,Silver,1,8,9
0000030600,F,28/07/48,23/02/98,49,40-60,40-50,London,F,48,01/05/90,0,0.01,South East,Tin,0,9,8
0000030937,,06/11/18,23/02/98,79,60-80,70-80,N East,D,32,12/05/97,0,6000,North,Gold,0,8,1
0000039330,M,06/12/67,23/02/98,,,,East,F,50,22/04/94,0,0.01,Midlands,Tin,0,,4
0000041092,F,14/04/47,23/02/98,50,40-60,50-60,East,D,35,02/01/96,0,9800,Midlands,Gold,0,3,3
0000041475,M,05/06/31,23/02/98,66,60-80,60-70,London,D,28,19/11/87,0,0.01,South East,Tin,0,,11
0000042439,F,07/02/63,23/02/98,35,20-40,30-40,Wales & West,C,19,09/03/93,1,1630,Midlands,Silver,1,15,5
0000045799,F,10/11/26,23/02/98,71,60-80,70-80,Wales & West,B,14,20/10/93,0,1500,Midlands,Silver,0,10,5
0000046906,F,05/08/53,23/02/98,44,40-60,40-50,N West,F,51,12/11/97,0,1000,North,Silver,0,7,1
0000050237,M,10/12/55,23/02/98,42,40-60,40-50,N East,B,15,14/09/93,0,0.01,North,Tin,0,8,5
0000051950,F,12/05/29,23/02/98,68,60-80,60-70,S West,B,08,08/12/93,1,6053.25,South West,Gold,1,9,5
0000054496,F,24/08/66,23/02/98,31,20-40,30-40,Yorkshire,D,32,28/09/94,0,0.01,North,Tin,0,9,4
0000056073,F,12/06/27,23/02/98,70,60-80,70-80,London,B,12,28/01/84,0,19053.82,South East,Gold,0,8,15
0000057002,F,04/04/25,23/02/98,72,60-80,70-80,N East,E,38,05/12/95,0,20526.96,North,Platinum,0,7,3
0000057622,M,29/03/56,23/02/98,41,40-60,40-50,East,,,01/01/90,0,0.01,Midlands,Tin,0,12,9
0000059056,F,07/09/60,23/02/98,37,20-40,30-40,N East,F,52,31/07/97,1,6000,North,Gold,1,9,1
0000059862,F,07/07/39,23/02/98,58,40-60,50-60,N West,C,24,27/09/91,0,10053.35,North,Gold,0,8,7
0000063002,F,07/12/50,23/02/98,47,40-60,40-50,London,D,31,20/01/94,0,0.02,South East,Silver,0,7,5
0000063983,M,16/01/27,23/02/98,71,60-80,70-80,East,E,37,20/02/93,0,1000,Midlands,Silver,0,8,6
0000071986,F,06/08/35,23/02/98,62,60-80,60-70,Midlands,D,27,09/08/93,1,1000,Midlands,Silver,1,8,5
0000072559,U,04/08/25,23/02/98,72,60-80,70-80,Midlands,E,37,04/06/86,0,6340.26,Midlands,Gold,0,15,12
0000073148,F,14/02/59,23/02/98,39,20-40,30-40,Midlands,E,44,02/12/94,1,2241.36,Midlands,Silver,1,8,4
0000075205,M,16/03/21,23/02/98,76,60-80,70-80,Wales & West,D,34,18/07/79,0,12000,Midlands,Gold,0,6,19
0000075469,F,20/05/36,23/02/98,61,60-80,60-70,Border,B,11,07/07/87,1,6000,Scottish,Gold,1,7,11
0000080322,,24/10/44,23/02/98,53,40-60,50-60,Midlands,D,32,20/12/93,0,0.01,Midlands,Tin,0,6,5
0000080608,M,06/09/37,23/02/98,60,60-80,60-70,Yorkshire,C,22,12/11/87,1,60,North,Silver,1,8,11
0000082678,F,14/12/55,23/02/98,42,40-60,40-50,London,F,52,14/02/94,1,0.01,South East,Tin,1,15,5
0000083852,F,28/02/37,23/02/98,,,,London,A,04,27/10/94,0,5000,South East,Silver,0,13,4
0000084573,F,27/05/40,23/02/98,57,40-60,50-60,Midlands,E,38,10/11/87,0,50,Midlands,Silver,0,10,11
0000087750,M,04/12/52,23/02/98,45,40-60,40-50,Midlands,F,51,11/03/94,0,0.01,Midlands,Tin,0,6,4
0000089796,F,22/01/23,23/02/98,75,60-80,70-80,East,B,12,25/06/90,1,3052.66,Midlands,Silver,1,11,8
0000091588,F,22/07/60,23/02/98,37,20-40,30-40,Yorkshire,E,38,14/12/93,1,0.01,North,Tin,1,8,5
0000093564,U,15/02/37,23/02/98,61,60-80,60-70,S West,E,42,02/01/91,0,3000,South West,Silver,0,13,8
0000095036,F,04/03/37,23/02/98,61,60-80,60-70,,B,08,01/01/90,0,1020,,Silver,0,12,9
0000095982,F,06/10/58,23/02/98,39,20-40,30-40,Yorkshire,A,04,01/06/90,3,0.01,North,Tin,1,19,8
0000097802,M,31/08/42,23/02/98,55,40-60,50-60,Ulster,,,10/11/97,0,2000,Midlands,Silver,0,7,1
0000102385,M,10/12/40,23/02/98,57,40-60,50-60,C Scotland,B,08,02/11/89,0,9000,Scottish,Gold,0,8,9
0000103225,F,06/09/79,23/02/98,18,<20,10-20,S & S East,C,22,03/11/97,0,6000,South East,Gold,0,13,1
0000108413,U,10/05/41,23/02/98,56,40-60,50-60,N West,A,01,08/01/91,0,3000,North,Silver,0,5,8
0000109819,F,16/11/47,23/02/98,50,40-60,50-60,N East,D,27,11/05/94,0,20000,North,Gold,0,9,4
0000113743,F,29/08/43,23/02/98,54,40-60,50-60,N West,F,51,02/04/96,0,2000,North,Silver,0,,2
0000117498,U,21/06/30,23/02/98,67,60-80,60-70,N East,B,15,02/01/91,0,22000,North,Platinum,0,11,8
0000118397,F,05/03/20,23/02/98,78,60-80,70-80,Midlands,E,37,25/04/74,0,2000,Midlands,Silver,0,7,24
0000121312,F,17/02/37,23/02/98,61,60-80,60-70,Midlands,C,19,29/09/93,0,0.01,Midlands,Tin,0,5,5
0000121495,,01/02/53,23/02/98,45,40-60,40-50,London,B,14,30/04/87,0,600,South East,Silver,0,5,11
0000124710,F,09/06/31,23/02/98,66,60-80,60-70,London,A,01,10/06/93,0,2000,South East,Silver,0,11,5
0000126098,U,11/03/46,23/02/98,51,40-60,50-60,Yorkshire,C,24,25/08/93,0,10000,North,Gold,0,2,5
0000126586,F,03/08/20,23/02/98,,,,Midlands,C,18,06/11/97,0,15000,Midlands,Gold,0,3,1
0000127892,,31/01/38,23/02/98,60,60-80,60-70,N West,B,12,01/02/90,0,1020,North,Silver,0,10,9
0000129283,M,07/02/50,23/02/98,48,40-60,40-50,East,C,19,03/04/96,0,3000,Midlands,Silver,0,9,2
0000129410,F,02/05/44,23/02/98,53,40-60,50-60,S & S East,C,24,01/07/97,0,100,South East,Silver,0,8,1
0000134872,U,22/10/25,23/02/98,72,60-80,70-80,Midlands,E,45,19/10/90,1,12000,Midlands,Gold,1,10,8
0000140597,F,10/04/29,23/02/98,68,60-80,60-70,London,E,41,01/03/91,0,0.01,South East,Tin,0,9,7
0000144649,F,16/09/50,23/02/98,47,40-60,40-50,N Scot,A,01,10/12/93,0,0.01,Scottish,Tin,0,8,5
0000145157,F,01/08/58,23/02/98,39,20-40,30-40,London,E,40,13/08/97,1,2800,South East,Silver,1,11,1
0000146730,F,07/10/25,23/02/98,72,60-80,70-80,London,A,04,01/06/90,0,0.01,South East,Tin,0,12,8
0000148415,M,27/05/30,23/02/98,67,60-80,60-70,London,E,40,19/05/94,0,6000,South East,Gold,0,10,4
0000148849,F,02/12/37,23/02/98,60,60-80,60-70,London,C,25,01/06/90,0,0.01,South East,Tin,0,9,8
0000151432,M,19/11/32,23/02/98,,,,Yorkshire,D,30,28/12/95,0,9000,North,Gold,0,6,3
0000154040,M,16/07/45,23/02/98,52,40-60,50-60,N West,F,52,01/01/90,0,0.01,North,Tin,0,11,9
0000156515,F,23/07/42,23/02/98,55,40-60,50-60,Midlands,D,27,01/07/90,0,0.01,Midlands,Tin,0,7,8
0000158216,M,02/06/32,23/02/98,65,60-80,60-70,S & S East,,,01/04/92,0,6053.35,South East,Gold,0,14,6
0000159522,M,23/07/56,23/02/98,41,40-60,40-50,London,B,12,01/06/91,1,0.01,South East,Tin,1,13,7
0000162485,F,11/03/63,23/02/98,34,20-40,30-40,East,D,28,04/08/95,2,3000,Midlands,Silver,1,16,3
0000165808,F,25/08/57,23/02/98,40,40-60,40-50,N West,D,32,05/08/91,1,1500,North,Silver,1,6,7
0000168394,F,06/06/62,23/02/98,35,20-40,30-40,London,F,53,10/03/94,1,0.01,South East,Tin,1,9,4
0000170127,M,18/04/47,23/02/98,50,40-60,50-60,Yorkshire,B,10,01/09/88,0,5000,North,Silver,0,7,10
0000181498,,01/03/36,23/02/98,62,60-80,60-70,N West,A,01,18/09/69,0,3000,North,Silver,0,6,29
0000191396,M,19/07/54,23/02/98,,,,Yorkshire,F,51,31/05/88,0,0.01,North,Tin,0,7,10
0000192791,M,18/09/37,23/02/98,60,60-80,60-70,East,C,16,15/11/93,0,8100,Midlands,Gold,0,9,5
0000197440,F,16/03/48,23/02/98,49,40-60,40-50,N West,B,14,03/06/94,0,7600,North,Gold,0,8,4
0000202878,M,07/06/40,23/02/98,57,40-60,50-60,Midlands,F,53,08/01/91,0,2000,Midlands,Silver,0,6,8
0000203289,U,07/05/45,23/02/98,52,40-60,50-60,Midlands,F,51,06/03/92,0,23053.35,Midlands,Platinum,0,7,6
0000206032,M,29/03/22,23/02/98,75,60-80,70-80,C Scotland,F,52,27/02/81,0,10000,Scottish,Gold,0,6,17
0000209732,,07/12/42,23/02/98,55,40-60,50-60,Midlands,E,37,12/02/93,0,10000,Midlands,Gold,0,15,6
0000213241,F,05/08/40,23/02/98,57,40-60,50-60,,F,51,20/03/97,0,12000,,Gold,0,5,1
0000215554,F,04/09/45,23/02/98,52,40-60,50-60,N West,C,22,10/11/92,1,2500,North,Silver,1,8,6
0000217158,F,13/12/23,23/02/98,74,60-80,70-80,East,A,03,25/01/94,0,6000,Midlands,Gold,0,12,5
0000223182,F,01/10/18,23/02/98,79,60-80,70-80,London,D,28,16/02/94,0,5000,South East,Silver,0,9,5
0000234540,,14/04/49,23/02/98,48,40-60,40-50,Yorkshire,D,32,26/02/94,0,420,North,Silver,0,6,4
0000239844,,21/04/37,23/02/98,60,60-80,60-70,London,E,41,01/05/90,0,0.01,South East,Tin,0,11,8
0000243051,F,25/03/59,23/02/98,38,20-40,30-40,N West,F,53,17/03/89,1,50,North,Silver,1,3,9
0000248258,F,14/03/39,23/02/98,58,40-60,50-60,N West,B,10,05/05/93,0,5000,North,Silver,0,9,5
0000249335,M,31/10/45,23/02/98,52,40-60,50-60,Wales & West,D,30,18/07/94,0,1800,Midlands,Silver,0,4,4
0000252646,F,08/02/53,23/02/98,45,40-60,40-50,Yorkshire,F,47,01/02/90,0,100.01,North,Silver,0,3,9
0000253839,F,28/08/55,23/02/98,42,40-60,40-50,N West,F,51,11/08/94,0,2000,North,Silver,0,9,4
0000256366,U,24/04/57,23/02/98,40,40-60,40-50,Midlands,F,51,16/05/88,0,50,Midlands,Silver,0,10,10
0000259802,,02/03/43,23/02/98,55,40-60,50-60,Midlands,D,35,02/01/91,0,10100,Midlands,Gold,0,5,8
0000262684,,09/09/20,23/02/98,77,60-80,70-80,Midlands,C,23,21/03/95,0,6000,Midlands,Gold,0,8,3
0000263419,F,09/04/70,23/02/98,27,20-40,20-30,London,C,19,01/03/91,2,0.01,South East,Tin,1,11,7
0000267236,F,05/08/37,23/02/98,60,60-80,60-70,N West,E,37,02/05/90,0,0.01,North,Tin,0,4,8
0000270962,U,23/11/39,23/02/98,58,40-60,50-60,London,A,04,09/03/93,0,2500,South East,Silver,0,7,5
0000271101,,11/11/43,23/02/98,54,40-60,50-60,Midlands,B,05,,0,0.01,Midlands,Tin,0,7,
0000274623,M,23/06/55,23/02/98,42,40-60,40-50,N West,D,32,07/11/94,0,0.01,North,Tin,0,7,4
0000275700,F,25/04/61,23/02/98,36,20-40,30-40,,F,48,22/02/90,1,1000,,Silver,1,10,9
0000276871,F,09/03/58,23/02/98,,,,London,E,41,21/11/97,1,5500,South East,Gold,1,6,1
0000277010,F,21/06/40,23/02/98,57,40-60,50-60,London,D,31,13/12/93,0,0.01,South East,Tin,0,4,5
0000278661,F,03/09/25,23/02/98,72,60-80,70-80,Midlands,C,18,21/06/90,0,11105.32,Midlands,Gold,0,10,8
0000280895,F,07/05/65,23/02/98,,,,East,C,17,27/04/92,1,0.01,Midlands,Tin,1,10,6
0000282057,F,03/03/61,23/02/98,37,20-40,30-40,N West,F,51,13/11/93,0,0.01,North,Tin,0,7,5
0000285846,F,12/06/21,23/02/98,76,60-80,70-80,East,F,51,05/02/91,1,2000,Midlands,Silver,1,9,8
0000287628,F,01/11/52,23/02/98,45,40-60,40-50,N West,D,34,04/10/93,0,0.01,North,Tin,0,6,5
0000288748,F,16/09/46,23/02/98,,,,S & S East,C,19,01/06/90,0,10000,South East,Gold,0,14,8
0000290890,M,27/10/46,23/02/98,51,40-60,50-60,London,F,48,01/12/89,0,0.02,South East,Silver,0,,9
0000293083,,11/01/37,23/02/98,61,60-80,60-70,S & S East,B,12,13/03/96,0,500,South East,Silver,0,15,2
0000293555,F,17/04/36,23/02/98,61,60-80,60-70,N Scot,B,11,04/11/97,0,4000,Scottish,Silver,0,12,1
0000295620,M,28/10/50,23/02/98,47,40-60,40-50,Ulster,,,14/02/94,0,0.01,Midlands,Tin,0,9,5
0000297194,U,11/07/45,23/02/98,52,40-60,50-60,East,F,50,01/04/90,0,0.01,Midlands,Tin,0,8,8
0000300845,U,04/05/57,23/02/98,40,40-60,40-50,Midlands,E,38,03/07/97,0,1000,Midlands,Silver,0,8,1
0000301175,F,15/02/42,23/02/98,56,40-60,50-60,Midlands,D,34,24/02/90,0,0.01,Midlands,Tin,0,5,9
0000301981,F,08/08/46,23/02/98,51,40-60,50-60,N West,F,47,01/07/90,0,9000.01,North,Gold,0,8,8
0000310786,F,03/04/47,23/02/98,50,40-60,50-60,London,C,24,26/03/96,0,12000,South East,Gold,0,9,2
0000312169,,29/03/51,23/02/98,46,40-60,40-50,N West,E,38,26/11/93,0,0.01,North,Tin,0,4,5
0000312762,F,28/09/56,23/02/98,41,40-60,40-50,S & S East,B,08,19/12/91,1,1675,South East,Silver,1,8,7
0000315559,M,21/12/37,23/02/98,60,60-80,60-70,London,B,10,01/03/90,0,100.01,South East,Silver,0,8,8
0000315788,F,16/10/27,23/02/98,70,60-80,70-80,S & S East,B,15,07/01/91,0,2250,South East,Silver,0,10,8
0000316350,F,26/08/47,23/02/98,50,40-60,50-60,London,D,28,01/02/90,1,0.01,South East,Tin,1,9,9
0000317640,F,06/10/60,23/02/98,37,20-40,30-40,Midlands,F,49,01/05/90,1,0.01,Midlands,Tin,1,15,8
0000317950,F,13/04/23,23/02/98,74,60-80,70-80,London,C,18,25/08/93,0,3000,South East,Silver,0,9,5
0000318922,,17/03/36,23/02/98,61,60-80,60-70,S West,E,37,22/12/92,1,1200,South West,Silver,1,8,6
0000323039,,30/03/48,23/02/98,49,40-60,40-50,N West,A,04,12/09/95,0,4000,North,Silver,0,8,3
0000324469,F,25/01/41,23/02/98,,,,S & S East,D,34,01/05/90,0,0.01,South East,Tin,0,7,8
0000331341,M,01/03/45,23/02/98,53,40-60,50-60,C Scotland,B,11,06/12/94,0,6000,Scottish,Gold,0,9,4
0000332658,F,13/03/65,23/02/98,,,,Midlands,D,34,05/02/94,0,0.01,Midlands,Tin,0,4,5
0000335606,U,09/11/38,23/02/98,59,40-60,50-60,Border,E,45,12/08/91,0,2500,Scottish,Silver,0,,7
0000340146,,21/04/34,23/02/98,63,60-80,60-70,N West,B,12,21/02/94,0,0.01,North,Tin,0,7,5
0000342033,F,24/05/46,23/02/98,51,40-60,50-60,N West,D,32,17/03/88,0,3026.67,North,Silver,0,7,10
0000343102,F,26/02/36,23/02/98,62,60-80,60-70,N West,D,27,22/01/92,0,56053.35,North,Platinum,0,5,7
0000345474,F,26/08/51,23/02/98,46,40-60,40-50,S & S East,C,23,06/07/88,0,0.1,South East,Silver,0,3,10
0000345865,M,15/09/58,23/02/98,39,20-40,30-40,Yorkshire,E,38,29/10/96,1,7500,North,Gold,1,10,2
0000346225,M,22/01/45,23/02/98,53,40-60,50-60,S & S East,E,36,02/04/92,1,3000,South East,Silver,1,6,6
0000346403,,26/02/58,23/02/98,,,,Midlands,D,27,20/01/94,0,0.01,Midlands,Tin,0,10,5
0000347086,F,24/09/49,23/02/98,48,40-60,40-50,London,C,21,07/04/94,0,5000,South East,Silver,0,7,4
0000347531,F,30/01/36,23/02/98,62,60-80,60-70,S & S East,B,12,01/11/87,0,12808.95,South East,Gold,0,7,11
0000349291,M,10/11/71,23/02/98,26,20-40,20-30,London,B,12,10/07/97,0,4000,South East,Silver,0,9,1
0000349739,F,23/01/29,23/02/98,,,,N East,E,41,16/11/93,0,2500,North,Silver,0,7,5
0000351482,F,25/04/54,23/02/98,43,40-60,40-50,S West,E,41,20/03/96,0,6000,South West,Gold,0,6,2
0000356425,F,28/07/19,23/02/98,78,60-80,70-80,Midlands,E,41,08/04/93,0,6000,Midlands,Gold,0,7,5
0000356719,F,08/02/31,23/02/98,67,60-80,60-70,East,C,19,02/02/96,0,12049.25,Midlands,Gold,0,3,3
0000357898,F,12/10/52,23/02/98,45,40-60,40-50,N West,D,27,21/01/94,0,0.01,North,Tin,0,2,5
0000358649,,30/10/37,23/02/98,60,60-80,60-70,C Scotland,D,32,27/01/94,0,0.01,Scottish,Tin,0,10,5
0000359955,F,30/07/29,23/02/98,68,60-80,60-70,London,E,44,20/11/92,0,7500,South East,Gold,0,13,6
0000361283,U,13/09/23,23/02/98,74,60-80,70-80,S & S East,A,04,11/12/95,0,20245.89,South East,Platinum,0,14,3
0000362468,M,20/11/44,23/02/98,53,40-60,50-60,Midlands,D,35,01/06/90,0,0.01,Midlands,Tin,0,5,8
0000369225,M,18/10/46,23/02/98,51,40-60,50-60,C Scotland,C,23,19/06/90,0,420,Scottish,Silver,0,5,8
0000369780,F,15/10/36,23/02/98,,,,S & S East,A,04,03/11/97,0,25000,South East,Platinum,0,9,1
0000370398,F,17/04/46,23/02/98,51,40-60,50-60,S & S East,F,52,23/04/97,0,200,South East,Silver,0,6,1
0000370622,U,19/01/47,23/02/98,51,40-60,50-60,S & S East,A,04,11/06/96,0,200,South East,Silver,0,5,2
0000371475,M,20/02/62,23/02/98,36,20-40,30-40,London,C,21,21/04/94,0,0.01,South East,Tin,0,11,4
0000374644,F,07/01/35,23/02/98,63,60-80,60-70,Wales & West,F,49,02/04/96,0,6000,Midlands,Gold,0,8,2
0000375330,F,25/04/28,23/02/98,69,60-80,60-70,S & S East,C,16,22/02/90,0,500,South East,Silver,0,8,9
0000376078,F,10/10/57,23/02/98,40,40-60,40-50,Midlands,D,32,23/12/93,1,0.01,Midlands,Tin,1,11,5
0000380113,F,26/06/51,23/02/98,46,40-60,40-50,Wales & West,E,45,07/05/87,0,2165.75,Midlands,Silver,0,4,11
0000393347,M,27/05/51,23/02/98,46,40-60,40-50,S & S East,D,34,14/03/90,0,0.01,South East,Tin,0,,8
0000396192,F,21/02/52,23/02/98,46,40-60,40-50,S & S East,A,04,03/06/87,1,2245,South East,Silver,1,8,11
0000397407,F,04/07/59,23/02/98,38,20-40,30-40,N West,D,35,17/01/94,1,0.01,North,Tin,1,9,5
0000397660,M,14/08/30,23/02/98,67,60-80,60-70,N West,F,52,18/05/93,0,11000,North,Gold,0,4,5
0000400297,U,16/10/24,23/02/98,73,60-80,70-80,Yorkshire,F,53,09/01/95,0,26000,North,Platinum,0,11,4
0000403768,F,10/01/45,23/02/98,53,40-60,50-60,Border,B,11,14/01/91,0,9000,Scottish,Gold,0,5,8
0000407364,F,29/12/42,23/02/98,55,40-60,50-60,Midlands,E,37,26/05/94,1,5000,Midlands,Silver,1,6,4
0000408964,F,04/05/43,23/02/98,54,40-60,50-60,London,A,04,07/01/91,0,3000,South East,Silver,0,9,8
0000414832,M,06/02/53,23/02/98,45,40-60,40-50,London,F,52,26/01/94,0,0.01,South East,Tin,0,6,5
0000418943,M,23/07/58,23/02/98,39,20-40,30-40,,C,25,18/07/94,1,0.01,,Tin,1,10,4
0000421979,F,07/02/40,23/02/98,58,40-60,50-60,N West,E,38,18/07/94,0,420,North,Silver,0,5,4
0000423211,F,28/08/64,23/02/98,33,20-40,30-40,N East,D,35,12/02/94,1,0.01,North,Tin,1,8,5
0000434671,M,26/12/62,23/02/98,35,20-40,30-40,London,D,27,01/06/90,1,0.01,South East,Tin,1,11,8
0000435961,M,13/01/27,23/02/98,71,60-80,70-80,Yorkshire,A,04,12/03/86,0,6000,North,Gold,0,4,12
0000439088,M,18/03/42,23/02/98,55,40-60,50-60,Border,B,15,02/08/94,0,0.01,Scottish,Tin,0,10,4
0000442542,M,08/07/40,23/02/98,57,40-60,50-60,S West,D,27,17/11/87,0,480,South West,Silver,0,,11
0000454702,M,18/08/44,23/02/98,53,40-60,50-60,London,B,05,09/06/93,0,6871.12,South East,Gold,0,13,5
0000462705,F,25/09/39,23/02/98,58,40-60,50-60,London,E,44,30/04/79,0,1500,South East,Silver,0,9,19
0000467812,M,18/05/54,23/02/98,43,40-60,40-50,Yorkshire,C,20,14/09/93,0,0.01,North,Tin,0,13,5
0000473596,F,22/05/50,23/02/98,47,40-60,40-50,London,D,32,25/09/93,0,0.01,South East,Tin,0,8,5
0000479403,M,25/07/23,23/02/98,74,60-80,70-80,S & S East,C,18,08/05/96,0,6000,South East,Gold,0,4,2
0000481572,M,29/04/48,23/02/98,49,40-60,40-50,N East,E,38,01/11/97,0,5000,North,Silver,0,10,1
0000486701,F,03/05/39,23/02/98,58,40-60,50-60,S & S East,D,27,12/02/90,0,3000,South East,Silver,0,9,9
0000492566,F,12/05/41,23/02/98,56,40-60,50-60,Midlands,D,27,01/06/90,0,0.01,Midlands,Tin,0,8,8
0000498300,F,24/04/50,23/02/98,47,40-60,40-50,S & S East,B,14,18/04/97,0,6000,South East,Gold,0,5,1
0000500100,F,31/07/67,23/02/98,30,20-40,30-40,Midlands,F,52,30/05/97,1,100,Midlands,Silver,1,14,1
0000502316,F,18/02/30,23/02/98,68,60-80,60-70,S & S East,D,30,14/11/94,1,50000,South East,Platinum,1,3,4
0000503053,F,05/01/53,23/02/98,45,40-60,40-50,N West,D,35,25/02/94,0,1000,North,Silver,0,8,4
0000518069,F,27/12/26,23/02/98,71,60-80,70-80,London,A,04,08/02/93,0,12000,South East,Gold,0,7,6
0000523259,F,01/01/33,23/02/98,65,60-80,60-70,S & S East,D,28,08/01/91,0,9053.35,South East,Gold,0,10,8
0000528102,F,20/02/24,23/02/98,74,60-80,70-80,London,C,24,30/09/93,0,19000,South East,Gold,0,10,5
0000530042,F,11/09/54,23/02/98,43,40-60,40-50,N West,D,32,28/09/93,1,0.01,North,Tin,1,10,5
0000532479,F,23/03/53,23/02/98,44,40-60,40-50,S West,E,42,12/02/90,0,500,South West,Silver,0,11,9
0000543004,U,13/07/32,23/02/98,65,60-80,60-70,London,F,48,14/07/93,0,3000,South East,Silver,0,9,5
0000543683,M,19/11/51,23/02/98,46,40-60,40-50,S & S East,D,28,14/05/86,0,17409.76,South East,Gold,0,7,12
0000553115,F,29/03/68,23/02/98,29,20-40,20-30,Midlands,F,52,16/07/86,0,2000,Midlands,Silver,0,8,12
0000580287,F,26/09/44,23/02/98,53,40-60,50-60,Wales & West,C,20,26/03/93,1,0.01,Midlands,Tin,1,7,5
0000588784,M,05/03/34,23/02/98,64,60-80,60-70,Midlands,E,37,10/04/86,0,1000,Midlands,Silver,0,9,12
0000595233,M,29/06/48,23/02/98,49,40-60,40-50,S & S East,D,30,18/01/94,1,3000,South East,Silver,1,10,5
0000598453,F,01/09/38,23/02/98,59,40-60,50-60,London,F,51,17/01/91,2,12000,South East,Gold,1,17,8
0000600504,F,09/07/60,23/02/98,37,20-40,30-40,N West,F,52,16/12/93,0,0.01,North,Tin,0,8,5
0000601969,,18/09/37,23/02/98,60,60-80,60-70,London,B,14,04/03/96,0,10000,South East,Gold,0,5,2
